antecedents|consequents|antecedent support|consequent support|support|confidence|lift|leverage|conviction
frozenset({'EXP_PREVIA_False', 'TIPO_ACCESO_Otros', 'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(0.0, 25.0]'})|0.3150800336983993|0.41786015164279694|0.14911541701769165|0.4732620320855615|1.1325847421079869|0.017456026356860943|1.1051792044954007
frozenset({'EXP_PREVIA_False', 'EDAD_FIN_(21.0, 25.0]', 'TIPO_ACCESO_Otros', 'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(0.0, 25.0]'})|0.30560235888795284|0.41786015164279694|0.14363942712721145|0.4700206753962784|1.1248277050310131|0.015940379099895013|1.098419921932772
frozenset({'EXP_PREVIA_False', 'TIPO_ACCESO_Otros'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(0.0, 25.0]'})|0.4450294860994103|0.41786015164279694|0.2072451558550969|0.46568859441552296|1.1144604063936003|0.02128506730808133|1.0895141714603809
frozenset({'EXP_PREVIA_False', 'EDAD_FIN_(21.0, 25.0]', 'TIPO_ACCESO_Otros'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(0.0, 25.0]'})|0.42965459140690815|0.41786015164279694|0.1983993260320135|0.46176470588235297|1.105069971537002|0.018863793312698884|1.0815713029587382
frozenset({'EXP_PREVIA_False', 'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(0.0, 25.0]'})|0.3477253580454928|0.41786015164279694|0.16048862679022746|0.46153846153846156|1.104528535980149|0.015188055947291973|1.0811168612348059
frozenset({'EXP_PREVIA_False', 'EDAD_FIN_(21.0, 25.0]', 'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(0.0, 25.0]'})|0.32792754844144906|0.41786015164279694|0.15122156697556866|0.46114322414900444|1.1035826755340086|0.014193711855974123|1.0803238902171217
frozenset({'EXP_PREVIA_False'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(0.0, 25.0]'})|0.4888374052232519|0.41786015164279694|0.22219882055602358|0.45454545454545453|1.087793255131965|0.017933148280764144|1.0672563886548725
frozenset({'EXP_PREVIA_False', 'EDAD_FIN_(21.0, 25.0]'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(0.0, 25.0]'})|0.45745577085088457|0.41786015164279694|0.20787700084246|0.45441988950276246|1.0874927597576192|0.016724463064836798|1.0670107600268737
frozenset({'TIPO_ACCESO_Otros', 'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(0.0, 25.0]'})|0.5676074136478517|0.41786015164279694|0.2493681550126369|0.43933209647495364|1.0513854808785685|0.0121876350721698|1.0382970822784001
frozenset({'EDAD_FIN_(21.0, 25.0]', 'TIPO_ACCESO_Otros', 'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(0.0, 25.0]'})|0.5324347093513058|0.41786015164279694|0.2333614153327717|0.43829113924050633|1.0488943191098408|0.010878166943346534|1.0363729131316968
frozenset({'TIPO_ACCESO_Otros'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(0.0, 25.0]'})|0.8308761583824769|0.41786015164279694|0.36099410278011795|0.4344740177439797|1.0397593932703708|0.013804065242031593|1.0293777237871653
frozenset({'EDAD_FIN_(21.0, 25.0]', 'TIPO_ACCESO_Otros'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(0.0, 25.0]'})|0.7708508845829823|0.41786015164279694|0.3338247683235046|0.4330601092896174|1.0363757050943063|0.011716900797675456|1.0268105277047532
frozenset({'EDAD_FIN_(21.0, 25.0]', 'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(0.0, 25.0]'})|0.5874052232518955|0.41786015164279694|0.254212299915754|0.4327716027249911|1.0356852670051704|0.008759064251945975|1.0262882661619719
frozenset({'EDAD_FIN_(21.0, 25.0]'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(0.0, 25.0]'})|0.8466722830665543|0.41786015164279694|0.3620471777590564|0.42761194029850746|1.0233374458353395|0.00825656916511297|1.017037023205544
frozenset({'SEXO_M'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(0.0, 25.0]'})|0.6790227464195451|0.41786015164279694|0.28791069924178603|0.4240074441687345|1.0147113633634837|0.004174151454006458|1.0106725207881653
frozenset({'SEXO_H', 'TIPO_ACCESO_Otros'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(0.0, 25.0]'})|0.2632687447346251|0.41786015164279694|0.11162594776748104|0.42400000000000004|1.014693548387097|0.0016164301698618072|1.0106594589534776
frozenset({'SEXO_H', 'EDAD_FIN_(21.0, 25.0]', 'TIPO_ACCESO_Otros'})|frozenset({'TTO_PCTO_DIAS_TRABAJADOS_(0.0, 25.0]'})|0.2384161752316765|0.41786015164279694|0.10046335299073295|0.42137809187279157|1.0084189416391203|0.000838733854328963|1.0060798600616092
